#Name,Gender,Rarity,Acquire,Slots,Min Def,Max Def,Aug Def,Fire,Water,Thunder,Ice,Dragon,Skill 1,Points 1,Skill 2,Points 2,Skill 3,Points 3,Material 1,Num 1,Material 2,Num 2,Material 3,Num 3,Material 4,Num 4
Jagras Vambraces α,,5,6,0,40,62,78,-2,2,-1,-1,1,Palico Rally,1,Intimidator,1,,,Great Jagras Scale+,4,Great Jagras Hide+,2,Monster Bone+,3,Jagras Hide+,1
Jagras Vambraces β,,5,6,1,40,62,78,-2,2,-1,-1,1,Palico Rally,1,,,,,Great Jagras Scale+,4,Great Jagras Hide+,2,Monster Bone+,3,Jagras Hide+,1
Kulu Vambraces α,,5,6,0,40,62,78,0,-3,0,1,0,Pro Transporter,1,Critical Eye,1,,,Kulu-Ya-Ku Scale+,4,Kulu-Ya-Ku Hide+,2,Carbalite Ore,3,,
Kulu Vambraces β,,5,6,2,40,62,78,0,-3,0,1,0,Pro Transporter,1,,,,,Kulu-Ya-Ku Scale+,4,Kulu-Ya-Ku Hide+,2,Carbalite Ore,3,,
Tzitzi Vambraces α,,5,6,0,40,62,78,0,0,-3,-2,0,Stun Resistance,2,Wide-Range,1,,,Tzitzi-Ya-Ku Hide+,4,Tzitzi-Ya-Ku Photophore+,2,Tzitzi-Ya-Ku Scale+,4,Dragonvein Crystal,2
Tzitzi Vambraces β,,5,6,1,40,62,78,0,0,-3,-2,0,Stun Resistance,2,,,,,Tzitzi-Ya-Ku Hide+,4,Tzitzi-Ya-Ku Photophore+,2,Tzitzi-Ya-Ku Scale+,4,Dragonvein Crystal,2
Girros Vambraces α,,5,6,0,40,62,78,0,-3,2,0,1,Palico Rally,2,,,,,Great Girros Scale+,4,Great Girros Hide+,2,Girros Fang,2,Omniplegia Sac,2
Girros Vambraces β,,5,6,1,40,62,78,0,-3,2,0,1,Palico Rally,1,,,,,Great Girros Scale+,4,Great Girros Hide+,2,Girros Fang,2,Omniplegia Sac,2
Pukei Vambraces α,,5,6,0,42,64,80,0,3,-3,0,1,Poison Resistance,2,Poison Attack,1,,,Pukei-Pukei Scale+,4,Pukei-Pukei Carapace,3,Toxin Sac,1,,
Pukei Vambraces β,,5,6,11,42,64,80,0,3,-3,0,1,Poison Resistance,1,,,,,Pukei-Pukei Scale+,4,Pukei-Pukei Carapace,3,Toxin Sac,1,,
Barroth Vambraces α,,5,6,0,42,64,80,-3,-1,3,-1,0,Marathon Runner,1,Stamina Thief,1,,,Barroth Ridge+,4,Barroth Scalp,2,Kestodon Carapace,3,Bird Wyvern Gem,1
Barroth Vambraces β,,5,6,1,42,64,80,-3,-1,3,-1,0,Marathon Runner,1,,,,,Barroth Ridge+,4,Barroth Scalp,2,Kestodon Carapace,3,Bird Wyvern Gem,1
Anja Vambraces α,,5,6,0,44,66,82,3,-3,-1,-1,0,Special Ammo Boost,1,Fire Attack,1,Anjanath Will,1,Anjanath Pelt+,4,Anjanath Scale+,4,Anjanath Nosebone+,1,Monster Keenbone,4
Anja Vambraces β,,5,6,1,44,66,82,3,-3,-1,-1,0,Special Ammo Boost,1,,,Anjanath Will,1,Anjanath Pelt+,4,Anjanath Scale+,4,Anjanath Nosebone+,1,Monster Keenbone,4
Jyura Vambraces α,,5,6,0,44,66,82,-1,2,-3,0,0,Water Attack,2,Aquatic Expert,1,,,Jyuratodus Carapace,4,Jyuratodus Fang+,3,Grand Gajau Whisker,2,Monster Keenbone,3
Jyura Vambraces β,,5,6,1,44,66,82,-1,2,-3,0,0,Water Attack,2,,,,,Jyuratodus Carapace,4,Jyuratodus Fang+,3,Grand Gajau Whisker,2,Monster Keenbone,3
Kadachi Vambraces α,,5,6,0,44,66,82,0,-3,3,0,0,Evade Extender,2,,,,,Tobi-Kadachi Pelt+,4,Tobi-Kadachi Claw+,4,Tobi-Kadachi Scale+,2,Monster Keenbone,4
Kadachi Vambraces β,,5,6,2,44,66,82,0,-3,3,0,0,Evade Extender,1,,,,,Tobi-Kadachi Pelt+,4,Tobi-Kadachi Claw+,4,Tobi-Kadachi Scale+,2,Monster Keenbone,4
Lumu Vambraces α,,5,6,0,44,66,82,-3,2,0,1,0,Artillery,2,,,,,Paolumu Pelt+,4,Paolumu Scale+,2,Paolumu Wing,2,Quality Bone,5
Lumu Vambraces β,,5,6,1,44,66,82,-3,2,0,1,0,Artillery,1,,,,,Paolumu Pelt+,4,Paolumu Scale+,2,Paolumu Wing,2,Quality Bone,5
Rathian Vambraces α,,5,6,0,46,68,84,2,0,-2,0,-3,Poison Attack,2,,,,,Rathian Carapace,2,Rathian Scale+,4,Rathian Spike+,2,Monster Keenbone,4
Rathian Vambraces β,,5,6,1,46,68,84,2,0,-2,0,-3,Poison Attack,1,,,,,Rathian Carapace,2,Rathian Scale+,4,Rathian Spike+,2,Monster Keenbone,4
Rath Heart Braces α,,6,7,0,52,72,84,3,0,-3,0,-4,Windproof,2,,,Pink Rathian Mastery,1,Pink Rathian Carapace,4,Pink Rathian Scale+,3,Rathian Spike+,2,Novacrystal,1
Rath Heart Braces β,,6,7,2,52,72,84,3,0,-3,0,-4,Windproof,1,,,Pink Rathian Mastery,1,Pink Rathian Carapace,4,Pink Rathian Scale+,3,Rathian Spike+,2,Novacrystal,1
Baan Vambraces α,,6,6,0,46,66,78,0,2,0,-1,-2,Sleep Attack,2,Guard,1,,,Radobaan Scale+,4,Radobaan Carapace,3,Radobaan Oilshell,2,Sturdy Bone,8
Baan Vambraces β,,6,6,1,46,66,78,0,2,0,-1,-2,Sleep Attack,1,Guard,1,,,Radobaan Scale+,4,Radobaan Carapace,3,Radobaan Oilshell,2,Sturdy Bone,8
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodogama Vambraces α,,5,6,0,48,70,86,2,0,-3,0,2,Bombardier,2,,,,,Dodogama Hide+,4,Dodogama Talon,4,Dodogama Scale+,4,Fucium Ore,6
Dodogama Vambraces β,,5,6,1,48,70,86,2,0,-3,0,2,Bombardier,1,,,,,Dodogama Hide+,4,Dodogama Talon,4,Dodogama Scale+,4,Fucium Ore,6
Zorah Claws α,,6,6,0,44,64,76,4,-3,-1,-2,-3,Free Elem/Ammo Up,1,Bombardier,1,Zorah Magdaros Mastery,1,Zorah Magdaros Heat Scale,3,Zorah Magdaros Pleura,3,Zorah Magdaros Magma,2,Dragonite Ore,8
Zorah Claws β,,6,6,1,44,64,76,4,-3,-1,-2,-3,Free Elem/Ammo Up,1,,,Zorah Magdaros Mastery,1,Zorah Magdaros Heat Scale,3,Zorah Magdaros Pleura,3,Zorah Magdaros Magma,2,Dragonite Ore,8
High Metal Braces α,,6,6,0,50,70,82,0,-1,-2,3,0,Defense Boost,2,Ice Attack,1,,,Fucium Ore,4,Carbalite Ore,3,Dragonvein Crystal,4,Barnos Hide+,4
High Metal Braces β,,6,6,1,50,70,82,0,-1,-2,3,0,Defense Boost,2,,,,,Fucium Ore,4,Carbalite Ore,3,Dragonvein Crystal,4,Barnos Hide+,4
Ingot Vambraces α,,6,6,0,50,70,82,-2,0,3,-1,0,Health Boost,2,Thunder Attack,1,,,Fucium Ore,1,Monster Hardbone,3,Dragonite Ore,4,Gastodon Horn,2
Ingot Vambraces β,,6,6,1,50,70,82,-2,0,3,-1,0,Health Boost,2,,,,,Fucium Ore,1,Monster Hardbone,3,Dragonite Ore,4,Gastodon Horn,2
Brigade Vambraces α,,6,6,0,52,72,84,1,0,2,0,2,Heavy Artillery,2,Divine Blessing,1,,,Hunter King Coin,2,Barroth Coin,4,Rathalos Coin,3,Monster Hardbone,2
Brigade Vambraces β,,6,6,1,52,72,84,1,0,2,0,2,Heavy Artillery,2,,,,,Hunter King Coin,2,Barroth Coin,4,Rathalos Coin,3,Monster Hardbone,2
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavasioth Vambraces α,,6,6,2,56,76,88,3,-3,1,-2,2,Affinity Sliding,1,Wide-Range,1,,,Lavasioth Carapace,4,Lavasioth Fang+,4,Lavasioth Scale+,6,Gajau Scale,6
Lavasioth Vambraces β,,6,6,3,56,76,88,3,-3,1,-2,2,Affinity Sliding,1,,,,,Lavasioth Carapace,4,Lavasioth Fang+,4,Lavasioth Scale+,6,Gajau Scale,6
Legiana Vambraces α,,6,7,0,54,74,86,-1,2,-3,3,0,Airborne,1,Evade Window,1,Legiana Favor,1,Legiana Hide+,4,Legiana Scale+,4,Legiana Tail Webbing,3,Novacrystal,1
Legiana Vambraces β,,6,7,3,54,74,86,-1,2,-3,3,0,Airborne,1,,,Legiana Favor,1,Legiana Hide+,4,Legiana Scale+,4,Legiana Tail Webbing,3,Novacrystal,1
Odogaron Vambraces α,,6,7,0,54,74,86,2,2,-2,-3,0,Constitution,1,Critical Eye,1,Odogaron Mastery,1,Odogaron Sinew+,4,Odogaron Scale+,4,Odogaron Tail,2,Hornetaur Innerwing,4
Odogaron Vambraces β,,6,7,1,54,74,86,2,2,-2,-3,0,Constitution,1,,,Odogaron Mastery,1,Odogaron Sinew+,4,Odogaron Scale+,4,Odogaron Tail,2,Hornetaur Innerwing,4
Rathalos Vambraces α,,6,7,0,54,74,86,3,1,-2,1,-3,Fire Resistance,2,Attack Boost,1,Rathalos Mastery,1,Rathalos Carapace,6,Rathalos Wing,2,Inferno Sac,2,Rath Wingtalon,6
Rathalos Vambraces β,,6,7,1,54,74,86,3,1,-2,1,-3,Fire Resistance,2,,,Rathalos Mastery,1,Rathalos Carapace,6,Rathalos Wing,2,Inferno Sac,2,Rath Wingtalon,6
Rath Soul Braces α,,7,7,1,56,68,82,3,2,2,-3,-4,Focus,1,Windproof,1,Rathalos Mastery,1,Azure Rathalos Carapace,6,Azure Rathalos Wing,2,Azure Rathalos Tail,1,Barnos Talon,4
Rath Soul Braces β,,7,7,2,56,68,82,3,2,2,-3,-4,Focus,1,,,Rathalos Mastery,1,Azure Rathalos Carapace,6,Azure Rathalos Wing,2,Azure Rathalos Tail,1,Barnos Talon,4
Diablos Vambraces α,,6,7,0,54,74,86,3,-2,0,-3,2,Heroics,2,Tremor Resistance,1,Diablos Mastery,1,Diablos Ridge+,4,Diablos Carapace,6,Diablos Tailcase,3,Kestodon Carapace,5
Diablos Vambraces β,,6,7,2,54,74,86,3,-2,0,-3,2,Heroics,2,,,Diablos Mastery,1,Diablos Ridge+,4,Diablos Carapace,6,Diablos Tailcase,3,Kestodon Carapace,5
Diablos Nero Braces α,,7,7,0,56,68,82,2,-3,0,-4,2,Focus,1,Marathon Runner,1,Diablos Mastery,1,Black Diablos Ridge+,4,Black Diablos Carapace,6,Carbalite Ore,5,Gastodon Carapace,5
Diablos Nero Braces β,,7,7,21,56,68,82,2,-3,0,-4,2,Focus,1,,,Diablos Mastery,1,Black Diablos Ridge+,4,Black Diablos Carapace,6,Carbalite Ore,5,Gastodon Carapace,5
Uragaan Vambraces α,,7,7,1,60,72,86,4,-3,1,-2,-2,Guard,1,Defense Boost,1,Uragaan Protection,1,Uragaan Carapace,4,Uragaan Scale+,4,Uragaan Marrow,1,Lava Nugget,4
Uragaan Vambraces β,,7,7,2,60,72,86,4,-3,1,-2,-2,Guard,1,,,Uragaan Protection,1,Uragaan Carapace,4,Uragaan Scale+,4,Uragaan Marrow,1,Lava Nugget,4
Bazel Vambraces α,,7,7,0,58,70,84,3,1,-4,-2,-2,Critical Draw,2,Earplugs,1,Bazelgeuse Protection,1,Bazelgeuse Carapace,4,Bazelgeuse Talon,2,Bazelgeuse Tail,2,Firecell Stone,1
Bazel Vambraces β,,7,7,3,58,70,84,3,1,-4,-2,-2,Critical Draw,2,,,Bazelgeuse Protection,1,Bazelgeuse Carapace,4,Bazelgeuse Talon,2,Bazelgeuse Tail,2,Firecell Stone,1
Damascus Vambraces α,,7,8,0,60,72,86,4,-2,0,0,0,Handicraft,1,Speed Sharpening,1,,,Elder Dragon Blood,2,Fucium Ore,3,Black Diablos Ridge+,5,Novacrystal,1
Damascus Vambraces β,,7,8,1,60,72,86,4,-2,0,0,0,Handicraft,1,,,,,Elder Dragon Blood,2,Fucium Ore,3,Black Diablos Ridge+,5,Novacrystal,1
Dober Vambraces α,,7,8,0,60,72,86,-2,0,-1,-1,4,Stamina Surge,2,Mushroomancer,1,,,Elder Dragon Bone,3,Quality Bone,3,Uragaan Marrow,1,Brutal Bone,3
Dober Vambraces β,,7,8,11,60,72,86,-2,0,-1,-1,4,Stamina Surge,1,Mushroomancer,1,,,Elder Dragon Bone,3,Quality Bone,3,Uragaan Marrow,1,Brutal Bone,3
Death Stench Grip α,,7,8,1,62,74,88,3,2,-2,3,-4,Focus,1,Dragon Attack,1,,,Sinister Cloth,2,Brutal Bone,2,Vaal Hazak Membrane,2,Novacrystal,1
Death Stench Grip β,,7,8,11,62,74,88,3,2,-2,3,-4,Focus,2,,,,,Sinister Cloth,2,Brutal Bone,2,Vaal Hazak Membrane,2,Novacrystal,1
,,,,,,,,,,,,,,,,,,,,,,,,,,
Nergigante Vambraces α,,8,8,0,64,70,84,1,1,-3,1,-3,Agitator,2,Attack Boost,1,Nergigante Hunger,1,Nergigante Carapace,4,Nergigante Horn+,1,Nergigante Tail,2,Firecell Stone,1
Nergigante Vambraces β,,8,8,1,64,70,84,1,1,-3,1,-3,Agitator,2,,,Nergigante Hunger,1,Nergigante Carapace,4,Nergigante Horn+,1,Nergigante Tail,2,Firecell Stone,1
Kaiser Vambraces α,,8,8,1,64,70,84,3,-3,1,-3,1,Weakness Exploit,2,,,Teostra Technique,1,Fire Dragon Scale+,4,Teostra Carapace,4,Teostra Claw+,4,Elder Dragon Bone,4
Kaiser Vambraces β,,8,8,3,64,70,84,3,-3,1,-3,1,Weakness Exploit,1,,,Teostra Technique,1,Fire Dragon Scale+,4,Teostra Carapace,4,Teostra Claw+,4,Elder Dragon Bone,4
Kushala Grip α,,8,8,0,64,70,84,0,2,-3,4,-2,Evade Window,2,Handicraft,1,Kushala Daora Flight,1,Daora Carapace,5,Daora Horn+,2,Daora Tail,2,Legiana Plate,1
Kushala Grip β,,8,8,3,64,70,84,0,2,-3,4,-2,Evade Window,2,,,Kushala Daora Flight,1,Daora Carapace,5,Daora Horn+,2,Daora Tail,2,Legiana Plate,1
Vaal Hazak Braces α,,8,8,1,64,70,84,-4,4,1,-1,-3,Peak Performance,1,Recovery Speed,1,Vaal Hazak Vitality,1,Vaal Hazak Fang+,3,Deceased Scale,6,Vaal Hazak Membrane,2,Vaal Hazak Gem,1
Vaal Hazak Braces β,,8,8,111,64,70,84,-4,4,1,-1,-3,Peak Performance,1,,,Vaal Hazak Vitality,1,Vaal Hazak Fang+,3,Deceased Scale,6,Vaal Hazak Membrane,2,Vaal Hazak Gem,1
Kirin Longarms α,,6,8,0,64,70,84,-3,-2,4,-2,2,Thunder Attack,2,Marathon Runner,1,Kirin Favor,1,Kirin Hide+,3,Kirin Mane,4,Paolumu Carapace+,3,Dragonvein Crystal,6
Kirin Longarms β,,6,8,11,64,70,84,-3,-2,4,-2,2,Thunder Attack,2,,,Kirin Favor,1,Kirin Hide+,3,Kirin Mane,4,Paolumu Carapace+,3,Dragonvein Crystal,6
Xeno'jiiva Claws α,,8,9,1,72,78,92,-3,2,2,2,-4,Flinch Free,1,Critical Boost,1,Xeno'jiiva Divinity,1,Xeno'jiiva Shell,4,Xeno'jiiva Claw,3,Xeno'jiiva Veil,2,Wyvern Gem,1
Xeno'jiiva Claws β,,8,9,3,72,78,92,-3,2,2,2,-4,Flinch Free,1,,,Xeno'jiiva Divinity,1,Xeno'jiiva Shell,4,Xeno'jiiva Claw,3,Xeno'jiiva Veil,2,Wyvern Gem,1
Guild Cross Vambraces α,,8,8,1,62,68,82,0,0,0,0,0,Tool Specialist,1,Water Resistance,2,Guild Guidance,1,Ace Hunter Coin,3,Brute Coin,3,Hunter King Coin,2,High Commendation,1
Guild Cross Vambraces β,,8,8,3,62,68,82,0,0,0,0,0,Tool Specialist,1,,,Guild Guidance,1,Ace Hunter Coin,3,Brute Coin,3,Hunter King Coin,2,High Commendation,1
,,,,,,,,,,,,,,,,,,,,,,,,,,
Commission Vambraces α,,8,9,1,70,76,90,2,2,2,2,2,Blindsider,1,Carving Pro,1,Commission Guidance,1,Research Commission Ticket,1,Legiana Scale+,8,Sinister Cloth,2,High Commendation,2
Commission Vambraces β,,8,9,2,70,76,90,2,2,2,2,2,Blindsider,1,,,Commission Guidance,1,Research Commission Ticket,1,Legiana Scale+,8,Sinister Cloth,2,High Commendation,2
Vangis Vambraces α,,7,7,0,58,70,84,1,1,-3,2,-3,Latent Power,2,Partbreaker,1,,,Deviljho Hide,4,Deviljho Tallfang,2,Deviljho Tail,2,Dragonbone Relic,1
Vangis Vambraces β,,7,7,2,58,70,84,1,1,-3,2,-3,Latent Power,2,,,,,Deviljho Hide,4,Deviljho Tallfang,2,Deviljho Tail,2,Dragonbone Relic,1
Empress Vambraces α,,8,8,3,70,76,90,3,1,1,-3,-2,Wide-Range,2,Blast Attack,2,Lunastra Favor,1,Lunastra Carapace,4,Lunastra Horn,1,Lunastra Tail,2,Firecell Stone,1
Empress Vambraces β,,8,8,32,70,76,90,3,1,1,-3,-2,Wide-Range,2,,,Lunastra Favor,1,Lunastra Carapace,4,Lunastra Horn,1,Lunastra Tail,2,Firecell Stone,1
Drachen Vambraces α,,8,9,22,72,78,92,-2,-2,3,-2,4,Critical Eye,2,Attack Boost,1,Soul of the Dragoon,1,Behemoth Mane,3,Behemoth Bone,3,Behemoth Great Horn,1,Behemoth Tail,1
Aloy's Arms α,Full,5,6,1,46,68,84,1,1,1,1,1,Weakness Exploit,1,Scenthound,1,Anjanath Will,1,Nora Brave Trophy,4,Anjanath Pelt+,14,Anjanath Nosebone+,6,Anjanath Gem,1
Ryu's Arms,Full,2,3,0,12,44,70,2,0,5,-3,2,Latent Power,1,,,,,SFV Ticket,7,Monster Bone M,6,Earth Crystal,6,Barroth Shell,5
Ryu's Arms α,Full,7,8,2,60,72,86,2,0,5,-3,2,Agitator,1,,,Rathalos Mastery,1,SFV Ticket III,4,Hunter King Coin,5,Immortal Dragonscale,6,Rathalos Plate,1
